seven	[0.00015420200462606013, 2.21837703536093e-05, 0.00021447721179624664, 6.382109670172573e-05, 0.000276317984651318]
days	[0.0015741454638910305, 6.65513110608279e-05, 0.002297970126388357, 0.00010211375472276115, 0.001981147814481148]
nitroglycerin	[0.0006425083526085839, 2.21837703536093e-05, 0.0009804672539256989, 8.934953538241601e-05, 0.0001981147814481148]
03	[1.9275250578257516e-05, 0.0003105727849505302, 0.0001991574109536576, 1.2764219340345144e-05, 9.90573907240574e-05]
sublingually	[6.4250835260858394e-06, 2.21837703536093e-05, 0.00010723860589812332, 1.2764219340345144e-05, 5.213546880213547e-06]
prn	[0.00012850167052171679, 2.21837703536093e-05, 0.009360398314821907, 3.829265802103543e-05, 0.00035973473473473476]
chest	[0.004735286558725263, 0.004702959314965172, 0.0004442742244350823, 0.0037654447054018174, 0.002591132799466133]
pain	[0.007369570804420457, 0.000443675407072186, 0.0031711987744159325, 0.0009445522311855407, 0.002648481815148482]
surgical	[0.0013685427910562838, 4.43675407072186e-05, 1.5319800842589045e-05, 0.0002297559481262126, 0.0006412662662662662]
history	[0.023663582626574146, 0.0001109188517680465, 9.191880505553428e-05, 0.00021699172878586747, 0.0017204704704704705]
significant	[0.0013813929581084554, 0.0013753937619237766, 7.659900421294524e-05, 0.0008041458184417441, 0.0010635635635635637]
hypertension	[0.003514520688768954, 8.87350814144372e-05, 4.595940252776714e-05, 7.658531604207086e-05, 0.0007768184851518184]
basal	[5.782575173477255e-05, 0.0001109188517680465, 1.5319800842589045e-05, 2.5528438680690288e-05, 9.384384384384384e-05]
cell	[0.0004754561809303521, 0.0024845822796042416, 3.063960168517809e-05, 0.00015317063208414173, 0.0006047714381047715]
carcinoma	[0.0005461320997172963, 2.21837703536093e-05, 3.063960168517809e-05, 1.2764219340345144e-05, 0.00013033867200533866]
nose	[5.782575173477255e-05, 2.21837703536093e-05, 6.127920337035618e-05, 0.0007403247217400183, 3.128128128128128e-05]
six	[0.0004304805962477512, 2.21837703536093e-05, 0.000658751436231329, 6.382109670172573e-05, 0.00045879212545879214]
years	[0.0023451554870213315, 4.43675407072186e-05, 4.595940252776714e-05, 3.829265802103543e-05, 9.90573907240574e-05]
ago	[0.0017347725520431765, 4.43675407072186e-05, 0.00010723860589812332, 3.829265802103543e-05, 6.256256256256256e-05]
cataracts	[9.637625289128758e-05, 2.21837703536093e-05, 1.5319800842589045e-05, 3.829265802103543e-05, 1.0427093760427094e-05]
hysterectomy	[0.00028912875867386276, 2.21837703536093e-05, 1.5319800842589045e-05, 3.829265802103543e-05, 9.384384384384384e-05]
social	[0.0028206116679516833, 4.43675407072186e-05, 3.063960168517809e-05, 1.2764219340345144e-05, 0.00017204704704704705]
lives	[0.0012914417887432536, 2.21837703536093e-05, 1.5319800842589045e-05, 1.2764219340345144e-05, 3.128128128128128e-05]
his	[0.00796710357234644, 0.003549403256577488, 0.001011106855610877, 0.006165117941386705, 0.012517726059392727]
wife	[0.0006746337702390131, 2.21837703536093e-05, 3.063960168517809e-05, 1.2764219340345144e-05, 6.777610944277611e-05]
he	[0.017302749935749165, 0.001042637206619637, 0.0009191880505553428, 0.005169508832839784, 0.013033867200533867]
cigar	[2.5700334104343358e-05, 2.21837703536093e-05, 1.5319800842589045e-05, 1.2764219340345144e-05, 5.213546880213547e-06]
smoker	[0.00035337959393472114, 2.21837703536093e-05, 4.595940252776714e-05, 1.2764219340345144e-05, 5.213546880213547e-06]
rarely	[6.425083526085839e-05, 2.21837703536093e-05, 1.5319800842589045e-05, 1.2764219340345144e-05, 5.213546880213547e-06]
drinks	[0.0002955538421999486, 2.21837703536093e-05, 4.595940252776714e-05, 2.5528438680690288e-05, 1.0427093760427094e-05]
alcohol	[0.0013878180416345412, 6.65513110608279e-05, 0.00010723860589812332, 3.829265802103543e-05, 0.00012512512512512512]
family	[0.0028591621691081985, 4.43675407072186e-05, 9.191880505553428e-05, 0.0001148779740631063, 0.0007351101101101101]
cardiac	[0.0019082498072474942, 0.001331026221216558, 0.00013787820758330143, 0.002144388849177984, 0.0020176426426426427]
disease	[0.004568234387047032, 0.000665513110608279, 0.00012255840674071236, 0.00021699172878586747, 0.0020854187520854186]
present	[0.0050115651503469544, 0.0002883890145969209, 3.063960168517809e-05, 0.0010083733278872665, 0.00023982315648982315]
illness	[0.004953739398612182, 4.43675407072186e-05, 1.5319800842589045e-05, 1.2764219340345144e-05, 5.2135468802135466e-05]
mr	[0.0008673862760215882, 0.0001996539331824837, 4.595940252776714e-05, 0.0001148779740631063, 0.0007716049382716049]
marsh	[1.9275250578257516e-05, 2.21837703536093e-05, 1.5319800842589045e-05, 1.2764219340345144e-05, 5.213546880213547e-06]
75yearold	[5.782575173477255e-05, 2.21837703536093e-05, 1.5319800842589045e-05, 1.2764219340345144e-05, 5.213546880213547e-06]
male	[0.0012850167052171678, 2.21837703536093e-05, 1.5319800842589045e-05, 0.0009062595731645053, 8.341675008341675e-05]
who	[0.004606784888203546, 0.0001331026221216558, 3.063960168517809e-05, 0.0005233329929541509, 0.0007194694694694695]
comes	[0.0003148290927782061, 2.21837703536093e-05, 1.5319800842589045e-05, 2.5528438680690288e-05, 1.0427093760427094e-05]
comprehensive	[1.2850167052171679e-05, 2.21837703536093e-05, 1.5319800842589045e-05, 1.2764219340345144e-05, 5.213546880213547e-06]
exam	[0.00017347725520431765, 0.0001996539331824837, 4.595940252776714e-05, 0.007224548146635352, 0.0004118702035368702]
follow	[0.00028912875867386276, 2.21837703536093e-05, 0.0002910762160091919, 0.0002042275094455223, 0.0008498081414748082]
up	[0.001156515034695451, 0.0003549403256577488, 0.0002297970126388357, 0.0007658531604207087, 0.001668335001668335]
medical	[0.005988177846312002, 8.87350814144372e-05, 0.00013787820758330143, 0.0001404064127437966, 0.001162620954287621]
problems	[0.0005140066820868671, 4.43675407072186e-05, 4.595940252776714e-05, 5.1056877361380575e-05, 0.0003440940940940941]
1	[0.0021074273965561554, 0.0017525178579351347, 0.010815779394867867, 0.00047227611559277037, 0.002059351017684351]
chronic	[0.001631971215625803, 0.0001552863924752651, 3.063960168517809e-05, 0.00038292658021035433, 0.000839381047714381]
renal	[0.0015484451297866873, 0.0003105727849505302, 7.659900421294524e-05, 7.658531604207086e-05, 0.0020124290957624293]
failure	[0.0012528912875867386, 0.0005989617995474511, 4.595940252776714e-05, 0.0001404064127437966, 0.0011104854854854854]
dialysis	[0.00017347725520431765, 4.43675407072186e-05, 0.00012255840674071236, 2.5528438680690288e-05, 0.0003284534534534535]
twice	[0.00018632742225648934, 2.21837703536093e-05, 0.002037533512064343, 7.658531604207086e-05, 0.0002450367033700367]
week	[0.0010215882806476485, 6.65513110608279e-05, 0.0007200306396016852, 0.0001148779740631063, 0.00042751084417751086]
2	[0.0026985350809560524, 0.0014197613026309952, 0.00674071237073918, 0.001238129276013479, 0.0024242992992992993]
hyperlipidemia	[0.0004626060138781804, 2.21837703536093e-05, 1.5319800842589045e-05, 1.2764219340345144e-05, 3.128128128128128e-05]
fasting	[6.425083526085839e-05, 4.43675407072186e-05, 1.5319800842589045e-05, 1.2764219340345144e-05, 4.692192192192192e-05]
lipid	[3.855050115651503e-05, 2.21837703536093e-05, 1.5319800842589045e-05, 2.5528438680690288e-05, 4.692192192192192e-05]
analysis	[3.855050115651503e-05, 6.65513110608279e-05, 3.063960168517809e-05, 1.2764219340345144e-05, 2.6067734401067733e-05]
18	[0.00028912875867386276, 0.001109188517680465, 0.000658751436231329, 0.0009956091085469212, 0.0003128128128128128]
months	[0.0010601387818041635, 4.43675407072186e-05, 0.00027575641516660286, 3.829265802103543e-05, 0.00015119285952619287]
showed	[0.0024222564893343615, 0.005967434225120902, 7.659900421294524e-05, 0.0025145512100479936, 0.002648481815148482]
total	[0.0006296581855564122, 0.0016637827765206975, 0.00012255840674071236, 0.0001659348514244869, 0.0007246830163496831]
cholesterol	[0.0004112053456694937, 0.0005545942588402325, 6.127920337035618e-05, 6.382109670172573e-05, 0.00010427093760427093]
221	[4.4975584682600874e-05, 4.43675407072186e-05, 1.5319800842589045e-05, 1.2764219340345144e-05, 1.0427093760427094e-05]
triglycerides	[5.1400668208686716e-05, 0.0002883890145969209, 3.063960168517809e-05, 2.5528438680690288e-05, 2.6067734401067733e-05]
192	[1.9275250578257516e-05, 4.43675407072186e-05, 1.5319800842589045e-05, 6.382109670172573e-05, 1.0427093760427094e-05]
ldl	[8.995116936520175e-05, 0.000221837703536093, 1.5319800842589045e-05, 1.2764219340345144e-05, 3.128128128128128e-05]
136	[1.9275250578257516e-05, 0.0004880429477794046, 1.5319800842589045e-05, 5.1056877361380575e-05, 2.085418752085419e-05]
hdl	[6.425083526085839e-05, 0.0001996539331824837, 3.063960168517809e-05, 1.2764219340345144e-05, 1.564064064064064e-05]
47	[0.0001156515034695451, 0.0003771240960113581, 3.063960168517809e-05, 3.829265802103543e-05, 0.00011991157824491157]
3	[0.0017861732202518632, 0.0009539021252051999, 0.004473381846036002, 0.0008934953538241601, 0.0018768768768768769]
undergo	[6.425083526085839e-05, 2.21837703536093e-05, 3.063960168517809e-05, 1.2764219340345144e-05, 0.0001668335001668335]
cataract	[8.995116936520175e-05, 2.21837703536093e-05, 1.5319800842589045e-05, 8.934953538241601e-05, 1.0427093760427094e-05]
removal	[0.00012850167052171679, 2.21837703536093e-05, 4.595940252776714e-05, 1.2764219340345144e-05, 0.00019290123456790122]
as	[0.0054613209971729635, 0.001619415235813479, 0.0035082343929528914, 0.002016746655774533, 0.008492867867867867]
today	[0.0009123618607041891, 8.87350814144372e-05, 0.0001991574109536576, 0.00042121923823138977, 0.00010427093760427093]
